scenario_id,round,ue1_base_scale,ue2_base_scale,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,video_gap_mbps,video_worst_delivery_ratio,video_imbalance_mbps,ue1_offered_mbps,ue2_offered_mbps,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,label
load-u1-040-u2-100,2,0.4,1.0,13.99384876961941,13.99384876961941,1.0,0.0,1.0,5.556721561823226,4.48,9.775285165721318,1.0,0.0,11.438983194630866,66.698202,STRONG_40
load-u1-040-u2-100,3,0.4,1.0,13.993754151969625,13.993754151969625,1.0,0.0,1.0,5.556816179473011,4.48,9.775285165721318,1.0,0.0,13.815359972972981,106.799803,STRONG_40
load-u1-055-u2-015,1,0.55,0.15,7.84,7.84,1.0,0.0,1.0,4.48,6.16,1.68,1.0,0.0,12.262449939999998,70.08441,LIGHT_85
load-u1-055-u2-015,2,0.55,0.15,7.84,7.84,1.0,0.0,1.0,4.48,6.16,1.68,1.0,0.0,11.459142593333338,48.533588,LIGHT_85
load-u1-055-u2-015,3,0.55,0.15,7.84,7.84,1.0,0.0,1.0,4.48,6.16,1.68,1.0,0.0,11.459143080536913,48.491639,LIGHT_85
load-u1-055-u2-025,1,0.55,0.25,8.96,8.96,1.0,0.0,1.0,3.36,6.16,2.8,1.0,0.0,11.123513517006804,39.940793,EQUAL_100
load-u1-055-u2-025,2,0.55,0.25,8.244186257835956,8.244186257835956,1.0,0.0,1.0,3.36,6.16,2.4438212914303294,1.0,0.0,9.827077013513517,40.5197,EQUAL_100
load-u1-055-u2-025,3,0.55,0.25,8.96,8.96,1.0,0.0,1.0,3.36,6.16,2.8,1.0,0.0,10.548224221476502,38.670732,EQUAL_100
load-u1-055-u2-040,1,0.55,0.4,9.710467475919266,9.710467475919266,1.0,0.0,1.0,1.8902393433422102,6.16,3.910114066288527,1.0,0.0,10.620058406666669,42.414191,STRONG_40
load-u1-055-u2-040,2,0.55,0.4,10.64,10.64,1.0,0.0,1.0,1.68,6.16,4.48,1.0,0.0,12.02370138666666,50.905918,STRONG_40
load-u1-055-u2-040,3,0.55,0.4,10.64,10.64,1.0,0.0,1.0,1.68,6.16,4.48,0.9933333333333333,0.6666666666666666,11.848106222222226,84.325665,STRONG_40
load-u1-055-u2-055,1,0.55,0.55,11.176736534500789,11.176736534500789,1.0,0.0,1.0,0.4239228522073394,6.16,5.376406841146725,1.0,0.0,11.375462228187923,79.864712,LIGHT_85
load-u1-055-u2-055,2,0.55,0.55,11.176754465186972,11.176754465186972,1.0,0.0,1.0,0.42394078289352266,6.16,5.376406841146725,1.0,0.0,12.061190684563758,88.407324,LIGHT_85
load-u1-055-u2-055,3,0.55,0.55,12.32,12.32,1.0,0.0,1.0,0.0,6.16,6.16,1.0,0.0,11.610720648648641,67.100754,LIGHT_85
load-u1-055-u2-075,1,0.55,0.75,13.131805736426443,13.131805736426443,1.0,0.0,1.0,1.5311220121555356,6.16,7.331463874290989,0.9933333333333333,0.6666666666666666,11.297287883561644,65.446813,MEDIUM_70
load-u1-055-u2-075,2,0.55,0.75,13.131918199510206,13.131918199510206,1.0,0.0,1.0,1.531009549071771,6.16,7.331463874290989,1.0,0.0,12.50062222,71.379141,MEDIUM_70
load-u1-055-u2-075,3,0.55,0.75,13.131910943492297,13.131910943492297,1.0,0.0,1.0,1.5310168050896804,6.16,7.331463874290989,1.0,0.0,13.108768425675674,101.304146,MEDIUM_70
load-u1-055-u2-100,1,0.55,1.0,15.575686522305798,15.575686522305798,1.0,0.0,1.0,3.9748838091368377,6.16,9.775285165721318,1.0,0.0,11.25022024832215,42.444631,STRONG_40
load-u1-055-u2-100,2,0.55,1.0,15.575695977273096,15.575695977273096,1.0,0.0,1.0,3.974874354169541,6.16,9.775285165721318,1.0,0.0,13.705361093333337,119.695344,STRONG_40
load-u1-055-u2-100,3,0.55,1.0,15.575633797911685,15.575633797911685,1.0,0.0,1.0,3.9749365335309506,6.16,9.775285165721318,1.0,0.0,13.42406733108108,103.649475,STRONG_40
load-u1-075-u2-015,1,0.75,0.15,9.584965281203736,9.584965281203736,1.0,0.0,1.0,6.719999999999998,8.399999999999999,1.4662927748581975,1.0,0.0,13.211191342281884,95.650921,STRONG_40
load-u1-075-u2-015,2,0.75,0.15,9.584965281203736,9.584965281203736,1.0,0.0,1.0,6.719999999999998,8.399999999999999,1.4662927748581975,1.0,0.0,11.352490953020135,76.096378,STRONG_40
load-u1-075-u2-015,3,0.75,0.15,9.584965281203736,9.584965281203736,1.0,0.0,1.0,6.719999999999998,8.399999999999999,1.4662927748581975,1.0,0.0,10.330466940000008,39.200798,STRONG_40
load-u1-075-u2-025,1,0.75,0.25,10.374942135339563,10.374942135339563,1.0,0.0,1.0,5.599999999999998,8.399999999999999,2.4438212914303294,1.0,0.0,10.41986077181208,49.993613,EQUAL_100
load-u1-075-u2-025,2,0.75,0.25,10.374942135339563,10.374942135339563,1.0,0.0,1.0,5.599999999999998,8.399999999999999,2.4438212914303294,1.0,0.0,11.297425114864863,61.655932,EQUAL_100
load-u1-075-u2-025,3,0.75,0.25,10.374942135339563,10.374942135339563,1.0,0.0,1.0,5.599999999999998,8.399999999999999,2.4438212914303294,1.0,0.0,10.231174628378385,38.748312,EQUAL_100
load-u1-075-u2-040,1,0.75,0.4,11.819687438024294,11.819687438024294,1.0,0.0,1.0,3.9994593054472394,8.399999999999999,3.910114066288527,1.0,0.0,11.828529442176869,59.025761,STRONG_40
load-u1-075-u2-040,2,0.75,0.4,11.819694373211538,11.819694373211538,1.0,0.0,1.0,3.9994662406344843,8.399999999999999,3.910114066288527,1.0,0.0,12.145822416107384,95.45021,STRONG_40
load-u1-075-u2-040,3,0.75,0.4,12.879999999999999,12.879999999999999,1.0,0.0,1.0,3.919999999999998,8.399999999999999,4.48,1.0,0.0,10.690263932885907,58.642077,STRONG_40
